10,住む場所や付き合う人、価値観などが劇的に変化し、前年よりはるかに動き回る「劇的な出会い」の年です。華やかな新しい世界へと導かれ、関わる人々があなたという宝石に彩りを加えます。偶然の出会いや新しい文化の発見、資産家や有名人との触れ合いが起きます。固定されずに移動し、同時多発する案件をスピードを上げて掴んでいくアクティブな時期です。様々な価値観を知り多角的に進める中で、媚びず高く見せず、自然体で接することが金脈に辿り着くカギとなります。※してはいけないこと：早く資産や名声を得たいと思うこと、人を区別すること、全てを受け入れること、交渉しないこと。
11,保護下にある生き方から自立した大人の生き方へとシフトし、人生の大きな「決意」をする年です。冷静に現状を見つめ直し、次の歳の試練に向けて心を整える準備期間。人生の分岐点に立ち、一旦迷いや生活への心配が生じますが、断捨離や守るべき者の理解が進みます。人間関係を疑い見直す中で、無理な寄り添いをやめて和解し、共存するための人選を行います。嘘がバレることもありますが、予感が当たり、メンターとの出会いにも恵まれるでしょう。※してはいけないこと：華やかな世界へ向かうこと、早い解決策を求めること、自分一人で責任を負うこと。また、資金集め、過去を振り返らないこと、仕事中心の生活にすることも避けてください。
12,前年に決めた目標に集中し、サナギが美しい蝶になって飛び立つための「冬眠と準備」の年です。人生が開花する場所へ移動するため、あえて時間を制御し、自らを鍛錬する時期となります。課せられた課題や責任を受け入れ、資格取得や難しい試験などの試練に挑みます。交友関係を絞り、全てを聞き入れず自分をがんじがらめにすることで、全力で未来への準備を進めます。通院や妊娠など、ポジティブな成就のために必要な時間の犠牲を払うこともあるでしょう。※してはいけないこと：逃げること、放棄すること、必要以上の融資を受けること。また、スピードを上げた人材育成や急激な売上の伸びを期待すること、多くの意見を聞くことも避けてください。
13,前年の頑張りが実を結び、サナギから蝶になって華やかな新しい場所へ飛び立つ「浄化と開花」の年です。浄化や解毒が進み、複数のオファーや移動、転居などによって、まっさらな日常へとリセットされます。全てを置いて抜け出し、着地点が明確でなくても着実に意味のある未来が構築される時期です。頼られることが増え、周囲を繁栄させて恩返しをすることで自らの才能も開花し、カリスマ性が生まれるでしょう。※してはいけないこと：既存の生活にしがみつくこと、行く先の情報を調べないこと、ご縁を運命と信じること。また、出来る範囲の仕事に留まったり、必要なことを遠慮して伝えないことも避けてください。
14,現状の向かい風や逆境を味方につけ、一気に空へ羽ばたく「気づきと未来」の年です。何が上手くいくか明確になり、自分だけでなく周囲のためにも勇気を出して新たな風に乗るタイミングとなります。自分の考えがほぼ正しいと実感でき、転職、結婚、起業の好機を迎えます。遅れたことが逆に吉となり、低予算での高パフォーマンスや仕事のスピードアップが可能になります。新たな役に任命され、会社や他社を儲けさせるなど、錬金術のように周囲から頼られて進むでしょう。※してはいけないこと：スケジュールを遅らせること、無償だから乗らないこと、自分中心に考えること。また、マーケットを調べないことや、結果を早く欲しがることも避けてください。
15,権力や資産を持つ人が急激に周囲に増える「欲望とエネルギー」の年です。人間の様々な格の上下を見る一年となり、嘘を語る人を見抜いても攻撃せず制御することが求められます。大きな財源との出会いや恋愛の活性化があり、人脈が加速して希望や地位が高まります。開業の準備や人気の上昇も起きますが、周りの壮大な話を鵜呑みにせず、相手が天使か悪魔か回数を重ねて慎重に判断し繋がることで、力強いプロジェクトに発展します。※してはいけないこと：正論を述べること、派手な買い物、うまい話に乗ること。また、出資や統合の決定、迅速な決定は避けてください。
16,自分自身の意志とは関係なく、古い価値観や環境が崩れ去る大規模な人生の転換期です。不安を感じる時期ですが、翌年に美しい星（希望）を見つけるための「自動的な断捨離」であり、より良い方向へ進むための前兆となります。世の中の情勢やマクロな事情により、独立、転居、転職、会社の統合・合併といった急激な事態が起きます。増えすぎた人脈や古い慣習が消え、スケジュールの変更や取り消しも相次ぎますが、一方で想像もしないチャンスや偶然の再会も訪れます。変化を恐れず、新しい芽生えを受け入れる心の準備をしましょう。※してはいけないこと：これまでと同じ価値観にしがみつくこと、全てを放棄すること、攻撃すること。また、自ら縁を切ることや、会社の移転・継承を自ら進めることも避けてください。
17,前年の大きな変化を経て、頭上にたくさんの希望やチャンスが星のように輝き始める「希望とオファー」の年です。前年に新しくなった生き方にふさわしい未来の光が次々と現れ、どれを選ぶかは自分で決めることができます。新たな価値観で未来を模索し、挑戦することで着実に結果が出る時期です。転職、起業、結婚、ランクの高い住まいへの転居など、質の良い仕事や環境の変化に恵まれます。複数のオファーや面白い案件が舞い込み、素敵な人脈も増殖します。本来やりたかったことを再確認し、翌年に着手する「掴める星」を複数見つけることになるでしょう。※してはいけないこと：過去にしがみつくこと、届いたオファーを無視すること、物事を早く進ませようと焦ることは避けてください。
18,月の光に照らされるような穏やかな時間の中で、大きな方向性を決めるための準備と「調査」を行う、心地よい待機の年です。穏やかな流れの中で生活を安定させつつ、物事の裏表や相手の本当の中身を見極めることになります。魅力的な人からの誘惑や増資の案件があっても、それが本物かどうか試されている時期です。そのため、疑いを持って様子を見ながら適度な距離感を保つ調査期間となります。※してはいけないこと：大きな投資や大きな決断、急速な拡大、大きな力と繋がろうとする欲を持つこと。また、恋愛関係の結末を早めようとしたり、相手の返答を鵜呑みにしたりすることは避けてください。
19,自分が太陽のように周囲を温かく繁栄させる「繁栄と決定」の年です。前年のプランの全貌が明らかになり、正解を知ることで猪突猛進に進んでいきます。出世や成功、結婚などポジティブな出来事が増え、周囲から認められ重宝されて多忙を極めます。有能な人が集まり急速に拡大しますが、周囲を照らす役割を途中で降りることはできません。今ある自信の持てる案件に感謝してゆっくり成就させ、周囲を芽吹かせましょう。※してはいけないこと：他人の批判、努力しない者に正解を教えること、全業務を1人でこなすこと、ネガティブな者と過ごすこと。また、無茶な案件を受けるのも厳禁です。
20,長く進んできた生き方が完結し、達成を迎える集大成の年です。携帯電話の容量を空けるように古いものを手放すことで、新しい未来への空きを作ります。人生の完結を迎え、有力者の応援により自動的に次のステップが示されます。プロポーズ、独立、キャリアアップなどの転機が訪れる一方、人とのお別れも経験します。しかし、これまでの失敗や喪失はすべて未来の武器となり、天使のサポートも入って最後に心から報われる着地を迎えます。※してはいけないこと：流れに逆らうこと、多くを求めること、出た結果に対する不満を持つこと、整頓しないこと。
21,これまでの22年が完結し、バージョンアップした次の22年の大作を描く「未来が創られる」年です。まるで宇宙にいるような壮大な人生設計を行います。自分の語る通りに未来が始まり、危機的状況でも救われるなど支えを実感できます。成功と失敗を経験したプロや師匠など、方向性を教えてくれる見本となる3人との出会いがあり、彼らに導かれながら次の希望や未来を描いていく時期です。※してはいけないこと：自分を律さずにいること、金銭欲・支配欲・性的欲望を持つこと。また、先々のスケジュールを組まないこと、現実のことに悩むこと、早く離脱したがることも避けてください。
